y0t,y1t,y0,y1,y3,x1,t1
55,164,55,NA,55,82,0
28,144,28,NA,28,67,0
40,159,40,NA,40,80,0
45,154,45,NA,45,78,0
46,147,NA,147,147,80,1
32,150,32,NA,32,74,0
47,156,47,NA,47,73,0
37,143,37,NA,37,73,0
46,141,46,NA,46,78,0
55,186,55,NA,55,94,0
59,164,59,NA,59,90,0
45,159,NA,159,159,76,1
37,140,37,NA,37,63,0
55,158,55,NA,55,72,0
48,150,48,NA,48,75,0
53,155,53,NA,53,81,0
47,160,47,NA,47,73,0
64,195,64,NA,64,100,0
56,155,56,NA,56,77,0
40,143,40,NA,40,68,0
49,160,49,NA,49,79,0
56,139,56,NA,56,70,0
45,162,45,NA,45,82,0
58,151,NA,151,151,82,1
46,159,NA,159,159,84,1
50,142,NA,142,142,64,1
45,153,NA,153,153,82,1
44,166,NA,166,166,83,1
47,143,47,NA,47,66,0
61,178,NA,178,178,90,1
57,181,57,NA,57,88,0
64,180,64,NA,64,103,0
51,161,51,NA,51,82,0
62,167,62,NA,62,80,0
39,159,NA,159,159,81,1
42,153,NA,153,153,81,1
28,127,NA,127,127,62,1
45,145,45,NA,45,63,0
46,173,46,NA,46,79,0
43,141,43,NA,43,74,0
61,158,NA,158,158,81,1
31,120,31,NA,31,59,0
53,138,53,NA,53,65,0
32,141,32,NA,32,69,0
63,168,63,NA,63,90,0
44,163,44,NA,44,69,0
40,137,NA,137,137,72,1
47,160,47,NA,47,81,0
56,165,NA,165,165,77,1
61,153,61,NA,61,81,0
50,178,NA,178,178,103,1
65,143,65,NA,65,69,0
64,162,64,NA,64,77,0
41,148,41,NA,41,75,0
57,167,57,NA,57,95,0
39,147,NA,147,147,72,1
47,141,NA,141,141,79,1
58,155,NA,155,155,88,1
42,150,42,NA,42,69,0
60,180,NA,180,180,97,1
63,149,63,NA,63,87,0
26,147,26,NA,26,69,0
48,146,48,NA,48,85,0
48,150,48,NA,48,78,0
44,162,44,NA,44,83,0
55,145,55,NA,55,79,0
51,178,51,NA,51,91,0
37,148,37,NA,37,66,0
53,145,53,NA,53,75,0
53,161,53,NA,53,78,0
